이름,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷출루,피사구,피고의사구,피삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,WPA,Position,Player,Salary
허도환,0.29,64,92,85,7,21,5,0,1,29,6,0,0,2,2,0,26,2,3,0, .247 , .281 , .341 , .622 , .280 , 71.2 ,0.29,-0.49,Batter,허도환,10000.0
이재원,0.28,105,279,234,27,47,6,0,4,65,28,1,0,25,8,1,44,13,9,3, .201 , .296 , .278 , .574 , .267 , 57.8 ,0.28,-1.59,Batter,이재원,5200.0
이재원,0.28,105,279,234,27,47,6,0,4,65,28,1,0,25,8,1,44,13,9,3, .201 , .296 , .278 , .574 , .267 , 57.8 ,0.28,-1.59,Batter,이재원,100000.0
조수행,0.28,117,134,119,36,28,4,1,1,37,9,22,7,10,1,0,31,4,2,2, .235 , .296 , .311 , .606 , .281 , 70.3 ,0.28,-0.74,Batter,조수행,8500.0
서건창,0.28,77,247,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1, .224 , .299 , .306 , .605 , .285 , 73.4 ,0.28,-1.75,Batter,서건창,26000.0
김호령,0.28,54,88,77,21,21,1,1,1,27,8,2,1,7,0,0,22,4,4,0, .273 , .333 , .351 , .684 , .307 , 87.1 ,0.28,-0.63,Batter,김호령,6000.0
송찬의,0.25,33,78,72,8,17,4,0,3,30,10,2,1,2,3,0,24,0,0,1, .236 , .282 , .417 , .699 , .316 , 100.2 ,0.25,-0.65,Batter,송찬의,3000.0
임지열,0.25,40,148,131,16,36,6,0,1,45,15,1,0,10,2,0,43,2,3,2, .275 , .331 , .344 , .675 , .311 , 91.2 ,0.25,-0.55,Batter,임지열,3200.0
장준원,0.23,35,63,57,7,14,2,0,3,25,10,1,0,3,0,0,17,5,3,0, .246 , .283 , .439 , .722 , .310 , 86.8 ,0.23,0.12,Batter,장준원,3800.0
김태진,0.23,77,276,254,37,68,5,1,0,75,20,1,2,17,1,0,30,4,3,1, .268 , .315 , .295 , .610 , .289 , 74.5 ,0.23,-0.12,Batter,김태진,10000.0
이병헌,0.18,3,4,4,1,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0, .750 , .750 , 1.000 , 1.750 , .801 , 426.4 ,0.18,0.08,Batter,이병헌,3000.0
이병헌,0.18,3,4,4,1,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0, .750 , .750 , 1.000 , 1.750 , .801 , 426.4 ,0.18,0.08,Batter,이병헌,3000.0
최승민,0.17,44,34,34,19,11,0,0,0,11,3,6,3,0,0,0,7,1,0,0, .324 , .324 , .324 , .647 , .305 , 88.6 ,0.17,-0.42,Batter,최승민,3300.0
유상빈,0.16,17,49,46,3,15,5,0,0,20,4,0,1,0,0,0,11,0,2,1, .326 , .319 , .435 , .754 , .327 , 101.0 ,0.16,0.31,Batter,유상빈,3000.0
김성윤,0.15,48,49,42,14,8,3,0,1,14,2,10,2,5,1,0,10,0,1,0, .190 , .292 , .333 , .625 , .289 , 72.9 ,0.15,-0.18,Batter,김성윤,3800.0
박정현,0.15,81,220,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0, .244 , .289 , .317 , .606 , .282 , 70.2 ,0.15,-1.42,Batter,박정현,3500.0
조민성,0.15,12,16,13,3,4,0,0,1,7,3,1,0,2,1,0,7,0,0,0, .308 , .438 , .538 , .976 , .443 , 175.4 ,0.15,-0.02,Batter,조민성,3000.0
권광민,0.14,32,87,71,6,16,3,1,0,21,8,0,1,13,1,0,30,0,0,2, .225 , .345 , .296 , .641 , .310 , 90.1 ,0.14,-0.62,Batter,,3000.0
하재훈,0.14,60,114,107,18,23,6,1,6,49,13,1,0,4,1,0,40,0,0,2, .215 , .246 , .458 , .704 , .308 , 83.3 ,0.14,-0.43,Batter,하재훈,5300.0
변우혁,0.14,21,61,61,5,16,3,0,3,28,8,0,0,0,0,0,21,3,0,0, .262 , .262 , .459 , .721 , .322 , 97.1 ,0.14,-0.76,Batter,변우혁,3000.0
김태근,0.12,2,6,4,0,2,1,0,0,3,2,0,1,1,1,0,1,0,0,0, .500 , .667 , .750 , 1.417 , .621 , 307.7 ,0.12,0.14,Batter,김태근,3000.0
전민재,0.12,35,46,45,11,13,1,0,0,14,0,3,0,0,0,0,12,3,1,0, .289 , .289 , .311 , .600 , .275 , 64.5 ,0.12,-0.11,Batter,전민재,3200.0
최경모,0.12,98,75,73,16,22,2,0,0,24,4,2,0,1,0,0,18,1,1,0, .301 , .311 , .329 , .640 , .296 , 79.6 ,0.12,-0.31,Batter,최경모,3000.0
이재용,0.12,8,6,5,1,1,0,0,1,4,2,0,0,1,0,0,2,1,0,0, .200 , .333 , .800 , 1.133 , .467 , 191.4 ,0.12,-0.01,Batter,이재용,3000.0
이명기,0.11,94,341,300,36,77,13,2,0,94,23,5,4,30,3,0,56,8,6,2, .257 , .328 , .313 , .642 , .301 , 84.1 ,0.11,-1.84,Batter,이명기,17500.0
김민혁,0.1,132,434,373,47,106,10,2,0,120,35,6,9,37,2,2,62,10,19,3, .284 , .349 , .322 , .671 , .305 , 83.6 ,0.1,0.07,Batter,김민혁,3200.0
김민혁,0.1,132,434,373,47,106,10,2,0,120,35,6,9,37,2,2,62,10,19,3, .284 , .349 , .322 , .671 , .305 , 83.6 ,0.1,0.07,Batter,김민혁,9000.0
장운호,0.1,57,146,122,12,29,3,0,1,35,15,0,2,17,3,1,24,2,2,2, .238 , .340 , .287 , .627 , .299 , 81.1 ,0.1,-0.01,Batter,장운호,5350.0
오영수,0.09,83,259,231,25,55,10,0,6,83,31,0,5,22,3,0,58,4,0,3, .238 , .309 , .359 , .668 , .311 , 89.8 ,0.09,0.33,Batter,오영수,3000.0
오태곤,0.08,130,295,263,48,61,15,1,4,90,23,11,4,15,9,1,68,3,5,3, .232 , .293 , .342 , .635 , .290 , 73.9 ,0.08,0.06,Batter,오태곤,10500.0
문상철,0.07,28,52,49,5,11,3,0,2,20,4,1,0,3,0,0,17,2,0,0, .224 , .269 , .408 , .677 , .306 , 84.3 ,0.07,-0.27,Batter,문상철,6600.0
김선우,0.06,3,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0, .333 , .500 , .333 , .833 , .423 , 166.1 ,0.06,0.05,Batter,김선우,3000.0
최준우,0.05,10,16,12,0,3,0,0,0,3,1,0,0,3,0,0,3,0,0,1, .250 , .375 , .250 , .625 , .311 , 89.1 ,0.05,-0.06,Batter,최준우,2900.0
송승환,0.04,11,28,28,3,7,1,0,1,11,4,0,0,0,0,0,7,0,0,0, .250 , .250 , .393 , .643 , .290 , 81.2 ,0.04,0.22,Batter,송승환,3000.0
문상준,0.04,2,3,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0, .333 , .333 , .667 , 1.000 , .439 , 171.0 ,0.04,0.07,Batter,문상준,3000.0
김민수,0.04,57,156,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0, .257 , .320 , .300 , .620 , .293 , 73.7 ,0.04,0.23,Batter,김민수,3000.0
김민수,0.04,57,156,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0, .257 , .320 , .300 , .620 , .293 , 73.7 ,0.04,0.23,Batter,김민수,6200.0
김민수,0.04,57,156,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0, .257 , .320 , .300 , .620 , .293 , 73.7 ,0.04,0.23,Batter,김민수,5300.0
김민수,0.04,57,156,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0, .257 , .320 , .300 , .620 , .293 , 73.7 ,0.04,0.23,Batter,김민수,11500.0
안상현,0.03,46,47,38,12,6,0,0,2,12,5,2,0,5,1,0,12,2,3,0, .158 , .273 , .316 , .589 , .261 , 50.6 ,0.03,-0.29,Batter,,3200.0
이형종,0.03,26,63,53,3,14,3,0,0,17,7,0,0,5,1,0,10,0,1,3, .264 , .323 , .321 , .643 , .296 , 80.5 ,0.03,0.27,Batter,이형종,12000.0
박찬혁,0.03,52,175,161,13,34,5,0,6,57,17,0,1,9,5,0,67,1,0,0, .211 , .274 , .354 , .628 , .291 , 81.8 ,0.03,-0.36,Batter,,3000.0
안재석,0.02,99,264,235,22,50,10,0,3,69,17,4,0,19,4,1,71,5,4,2, .213 , .281 , .294 , .574 , .267 , 61.8 ,0.02,-0.88,Batter,안재석,5800.0
강백호,0.02,62,264,237,24,58,12,0,6,88,29,0,0,23,1,2,44,6,1,2, .245 , .312 , .371 , .683 , .312 , 88.8 ,0.02,0.16,Batter,강백호,55000.0
김동진,0.02,5,4,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0, .250 , .250 , .500 , .750 , .330 , 104.7 ,0.02,0.02,Batter,김동진,3000.0
박계범,0.02,77,168,145,21,32,8,0,2,46,14,5,3,12,3,1,40,1,6,2, .221 , .290 , .317 , .607 , .273 , 66.4 ,0.02,-0.89,Batter,박계범,14500.0
박유연,0.01,13,19,17,0,4,0,0,0,4,2,0,0,1,1,0,5,1,0,0, .235 , .316 , .235 , .551 , .276 , 64.6 ,0.01,0.04,Batter,박유연,3000.0
안중열,0.01,33,84,71,8,11,0,0,2,17,2,0,1,11,2,0,19,2,0,0, .155 , .286 , .239 , .525 , .262 , 55.7 ,0.01,-0.51,Batter,안중열,6400.0
이정범,0.0,7,11,11,2,3,0,0,0,3,1,0,0,0,0,0,2,0,0,0, .273 , .273 , .273 , .546 , .257 , 53.0 ,0.0,-0.03,Batter,이정범,3200.0
신준우,0.0,76,54,43,6,6,3,0,0,9,0,0,0,7,2,0,19,0,2,0, .140 , .289 , .209 , .498 , .246 , 45.5 ,0.0,-0.23,Batter,,3000.0
고명성,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,고명성,3100.0
김재유,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.03,Batter,김재유,6000.0
이승진,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,이승진,11000.0
배재준,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,배재준,5000.0
김서준,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김서준,3000.0
박승주,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,박승주,3200.0
오승환,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,오승환,160000.0
채지선,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,채지선,4000.0
김범수,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김범수,9680.0
이상민,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,이상민,5500.0
우규민,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,우규민,20000.0
홍정우,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,홍정우,5300.0
배제성,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,배제성,27000.0
서동민,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,4000.0
장시환,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,장시환,8700.0
최민준,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,최민준,6500.0
진해수,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,진해수,30000.0
신정락,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,신정락,5400.0
김지용,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김지용,6000.0
원종현,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,원종현,27000.0
윤명준,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,윤명준,14000.0
이용준,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,이용준,3000.0
홍건희,0.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,홍건희,25000.0
김재윤,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김재윤,28000.0
문경찬,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,문경찬,9000.0
박영현,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,박영현,3000.0
심재민,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,심재민,8200.0
김강률,0.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김강률,22500.0
박정수,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,박정수,5000.0
이용찬,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,이용찬,40000.0
최동환,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,최동환,6000.0
김성진,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김성진,3000.0
김성진,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김성진,5000.0
하영민,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,하영민,4000.0
송은범,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,15000.0
박주혁,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,박주혁,3000.0
정철원,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,정철원,3000.0
최성훈,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,최성훈,10500.0
박민호,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,,12000.0
하준영,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,하준영,4000.0
김명신,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김명신,10000.0
송승기,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,송승기,3000.0
한재승,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,한재승,3000.0
허준혁,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,허준혁,3000.0
김진호,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김진호,3000.0
주현상,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,주현상,5080.0
윤호솔,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,윤호솔,6350.0
구승민,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,구승민,18100.0
김동주,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김동주,3000.0
노운현,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,노운현,3000.0
박신지,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,박신지,3100.0
함덕주,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,함덕주,12000.0
김원중,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김원중,28000.0
임창민,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,임창민,12000.0
박주성,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,박주성,4000.0
김태훈,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김태훈,4100.0
김태훈,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김태훈,19000.0
김민우,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김민우,19100.0
김진성,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김진성,10000.0
이상우,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,이상우,3000.0
김재열,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,김재열,3900.0
정우영,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,정우영,28000.0
백승현,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,백승현,5000.0
장원준,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,장원준,5000.0
주권,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,주권,29500.0
류진욱,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,류진욱,7500.0
고효준,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,고효준,4000.0
류희운,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,류희운,3300.0
이정현,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,0.0,0.0,Batter,이정현,3500.0
이재홍,-0.01,4,4,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0, .250 , .250 , .250 , .500 , .236 , 40.7 ,-0.01,-0.06,Batter,이재홍,3000.0
박주홍,-0.01,21,57,49,4,11,1,1,0,14,3,0,0,8,0,1,18,1,0,0, .224 , .333 , .286 , .619 , .294 , 78.7 ,-0.01,-0.22,Batter,,3000.0
박정우,-0.01,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,  ,  ,  ,  ,  ,  ,-0.01,0.0,Batter,박정우,3500.0
김민성,-0.02,92,157,140,16,29,4,0,3,42,20,0,1,10,3,0,27,4,3,1, .207 , .273 , .300 , .573 , .265 , 61.8 ,-0.02,-0.07,Batter,김민성,18000.0
노수광,-0.02,117,361,315,33,72,18,6,4,114,30,17,6,32,1,1,107,2,10,3, .229 , .299 , .362 , .661 , .296 , 80.3 ,-0.02,-0.45,Batter,노수광,12840.0
