순,이름,연도,WAR,game,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,고의사구,삼진,병살,희생타,희생플라이,타율,출루,장타,OPS,wOBA,wRC+,WAR2,--
82,김민혁,22두1B, 0.79 , 38 , 97 , 88 , 11 , 25 , 2 , 0 , 5 , 42 , 16 , 0 , 0 , 7 , 2 , 0 , 25 , 6 , 0 , 0 , .284 , .351 , .477 , .828 , .377 , 142.7 , 0.79 , 0.11 
83,김민식,22KSC, 0.76 , 104 , 266 , 222 , 30 , 49 , 9 , 1 , 2 , 66 , 28 , 0 , 0 , 32 , 2 , 1 , 45 , 4 , 7 , 3 , .221 , .321 , .297 , .618 , .288 , 73.5 , 0.76 , -0.99 
84,김인환,22한1B, 0.73 , 113 , 429 , 398 , 48 , 104 , 14 , 0 , 16 , 166 , 54 , 2 , 0 , 24 , 3 , 2 , 111 , 4 , 0 , 4 , .261 , .305 , .417 , .722 , .327 , 100.3 , 0.73 , -1.43 
85,김도영,22K3B, 0.72 , 103 , 254 , 224 , 37 , 53 , 11 , 4 , 3 , 81 , 19 , 13 , 3 , 22 , 3 , 0 , 62 , 3 , 4 , 1 , .237 , .312 , .362 , .674 , .309 , 88.1 , 0.72 , -0.53 
86,가르시아,22L2B, 0.59 , 39 , 156 , 136 , 21 , 28 , 6 , 1 , 4 , 48 , 19 , 4 , 1 , 19 , 1 , 0 , 40 , 4 , 0 , 0 , .206 , .308 , .353 , .661 , .310 , 93.1 , 0.59 , -0.91 
87,김상수,22삼SS, 0.56 , 72 , 260 , 235 , 30 , 59 , 11 , 0 , 2 , 76 , 29 , 2 , 1 , 18 , 1 , 0 , 44 , 6 , 4 , 2 , .251 , .305 , .323 , .628 , .291 , 75.2 , 0.56 , -0.79 
88,박준영,22N3B, 0.53 , 75 , 240 , 208 , 27 , 45 , 8 , 1 , 4 , 67 , 19 , 7 , 2 , 27 , 1 , 0 , 54 , 6 , 3 , 1 , .216 , .308 , .322 , .630 , .295 , 78.9 , 0.53 , -1.16 
89,오선진,22삼3B, 0.53 , 100 , 306 , 268 , 30 , 74 , 8 , 0 , 3 , 91 , 24 , 2 , 2 , 18 , 3 , 0 , 51 , 5 , 16 , 1 , .276 , .328 , .340 , .667 , .299 , 79.9 , 0.53 , -0.72 
90,최주환,22S2B, 0.52 , 97 , 333 , 298 , 36 , 63 , 14 , 2 , 9 , 108 , 41 , 0 , 0 , 29 , 4 , 2 , 55 , 5 , 0 , 2 , .211 , .288 , .362 , .651 , .298 , 79.1 , 0.52 , -0.42 
91,김대한,22두RF, 0.50 , 51 , 110 , 96 , 13 , 23 , 6 , 1 , 4 , 43 , 11 , 2 , 1 , 5 , 6 , 0 , 27 , 0 , 2 , 1 , .240 , .315 , .448 , .763 , .339 , 115.5 , 0.50 , -0.09 
92,권희동,22NCF, 0.49 , 82 , 280 , 238 , 30 , 53 , 5 , 1 , 5 , 75 , 22 , 2 , 1 , 31 , 8 , 1 , 44 , 3 , 2 , 1 , .223 , .331 , .315 , .646 , .307 , 87.4 , 0.49 , 0.39 
93,지시완,22롯C, 0.48 , 75 , 199 , 174 , 16 , 37 , 7 , 0 , 3 , 53 , 17 , 0 , 0 , 20 , 2 , 1 , 55 , 7 , 2 , 1 , .213 , .300 , .305 , .604 , .283 , 68.3 , 0.48 , -0.31 
94,이우성,22KLF, 0.44 , 80 , 137 , 120 , 23 , 35 , 7 , 0 , 1 , 45 , 12 , 1 , 3 , 12 , 1 , 0 , 20 , 5 , 4 , 0 , .292 , .361 , .375 , .736 , .337 , 106.9 , 0.44 , -1.03 
95,양찬열,22두RF, 0.43 , 41 , 94 , 82 , 15 , 20 , 4 , 0 , 3 , 33 , 12 , 0 , 0 , 11 , 0 , 0 , 23 , 2 , 1 , 0 , .244 , .333 , .402 , .736 , .337 , 113.1 , 0.43 , 0.38 
96,고종욱,22KDH, 0.40 , 62 , 114 , 106 , 13 , 30 , 7 , 1 , 2 , 45 , 14 , 1 , 0 , 7 , 0 , 0 , 21 , 2 , 1 , 0 , .283 , .327 , .425 , .752 , .341 , 110.4 , 0.40 , 0.63 
97,김기환,22NCF, 0.37 , 73 , 131 , 113 , 26 , 25 , 5 , 1 , 0 , 32 , 6 , 14 , 2 , 13 , 2 , 0 , 38 , 0 , 2 , 1 , .221 , .310 , .283 , .593 , .282 , 71.0 , 0.37 , -1.17 
98,김주형,22키SS, 0.33 , 55 , 130 , 110 , 16 , 22 , 7 , 1 , 1 , 34 , 5 , 1 , 0 , 4 , 13 , 0 , 29 , 4 , 2 , 1 , .200 , .305 , .309 , .614 , .291 , 76.0 , 0.33 , -0.93 
99,박상언,22한C, 0.32 , 56 , 151 , 134 , 16 , 30 , 5 , 1 , 4 , 49 , 17 , 0 , 3 , 11 , 0 , 0 , 28 , 2 , 5 , 1 , .224 , .281 , .366 , .647 , .287 , 73.4 , 0.32 , -0.83 
100,안승한,22두C, 0.32 , 30 , 39 , 36 , 5 , 12 , 3 , 0 , 0 , 15 , 8 , 0 , 0 , 2 , 0 , 0 , 12 , 0 , 1 , 0 , .333 , .368 , .417 , .785 , .356 , 122.1 , 0.32 , 0.21 
101,손호영,22L2B, 0.31 , 36 , 82 , 74 , 13 , 19 , 0 , 2 , 3 , 32 , 14 , 0 , 3 , 6 , 0 , 0 , 14 , 2 , 1 , 1 , .257 , .309 , .432 , .741 , .330 , 106.7 , 0.31 , 0.03 
102,신용수,22롯RF, 0.30 , 49 , 73 , 68 , 8 , 16 , 4 , 2 , 2 , 30 , 7 , 3 , 1 , 4 , 1 , 0 , 15 , 0 , 0 , 0 , .235 , .288 , .441 , .729 , .328 , 97.8 , 0.30 , 0.19 
103,허도환,22LC, 0.29 , 64 , 92 , 85 , 7 , 21 , 5 , 0 , 1 , 29 , 6 , 0 , 0 , 2 , 2 , 0 , 26 , 2 , 3 , 0 , .247 , .281 , .341 , .622 , .280 , 71.2 , 0.29 , -0.49 
104,이재원,22SC, 0.28 , 105 , 279 , 234 , 27 , 47 , 6 , 0 , 4 , 65 , 28 , 1 , 0 , 25 , 8 , 1 , 44 , 13 , 9 , 3 , .201 , .296 , .278 , .574 , .267 , 57.8 , 0.28 , -1.59 
105,조수행,22두LF, 0.28 , 117 , 134 , 119 , 36 , 28 , 4 , 1 , 1 , 37 , 9 , 22 , 7 , 10 , 1 , 0 , 31 , 4 , 2 , 2 , .235 , .296 , .311 , .606 , .281 , 70.3 , 0.28 , -0.74 
106,서건창,22L2B, 0.28 , 77 , 247 , 219 , 39 , 49 , 10 , 1 , 2 , 67 , 18 , 8 , 3 , 20 , 4 , 0 , 44 , 5 , 3 , 1 , .224 , .299 , .306 , .605 , .285 , 73.4 , 0.28 , -1.75 
107,김호령,22KCF, 0.28 , 54 , 88 , 77 , 21 , 21 , 1 , 1 , 1 , 27 , 8 , 2 , 1 , 7 , 0 , 0 , 22 , 4 , 4 , 0 , .273 , .333 , .351 , .684 , .307 , 87.1 , 0.28 , -0.63 
108,송찬의,22L2B, 0.25 , 33 , 78 , 72 , 8 , 17 , 4 , 0 , 3 , 30 , 10 , 2 , 1 , 2 , 3 , 0 , 24 , 0 , 0 , 1 , .236 , .282 , .417 , .699 , .316 , 100.2 , 0.25 , -0.65 
109,임지열,22키LF, 0.25 , 40 , 148 , 131 , 16 , 36 , 6 , 0 , 1 , 45 , 15 , 1 , 0 , 10 , 2 , 0 , 43 , 2 , 3 , 2 , .275 , .331 , .344 , .675 , .311 , 91.2 , 0.25 , -0.55 
110,장준원,22K2B, 0.23 , 35 , 63 , 57 , 7 , 14 , 2 , 0 , 3 , 25 , 10 , 1 , 0 , 3 , 0 , 0 , 17 , 5 , 3 , 0 , .246 , .283 , .439 , .722 , .310 , 86.8 , 0.23 , 0.12 
111,김태진,22K키1B, 0.23 , 77 , 276 , 254 , 37 , 68 , 5 , 1 , 0 , 75 , 20 , 1 , 2 , 17 , 1 , 0 , 30 , 4 , 3 , 1 , .268 , .315 , .295 , .610 , .289 , 74.5 , 0.23 , -0.12 
112,라모스,22KRF, 0.21 , 18 , 80 , 72 , 10 , 18 , 1 , 1 , 3 , 30 , 11 , 2 , 0 , 4 , 2 , 0 , 18 , 2 , 1 , 1 , .250 , .304 , .417 , .721 , .323 , 96.5 , 0.21 , -0.16 
113,이병헌,22삼C, 0.18 , 3 , 4 , 4 , 1 , 3 , 1 , 0 , 0 , 4 , 1 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , .750 , .750 , 1.000 , 1.750 , .801 , 426.4 , 0.18 , 0.08 
114,최승민,22NCF, 0.17 , 44 , 34 , 34 , 19 , 11 , 0 , 0 , 0 , 11 , 3 , 6 , 3 , 0 , 0 , 0 , 7 , 1 , 0 , 0 , .324 , .324 , .324 , .647 , .305 , 88.6 , 0.17 , -0.42 
115,유상빈,22한LF, 0.16 , 17 , 49 , 46 , 3 , 15 , 5 , 0 , 0 , 20 , 4 , 0 , 1 , 0 , 0 , 0 , 11 , 0 , 2 , 1 , .326 , .319 , .435 , .754 , .327 , 101.0 , 0.16 , 0.31 
116,김성윤,22삼CF, 0.15 , 48 , 49 , 42 , 14 , 8 , 3 , 0 , 1 , 14 , 2 , 10 , 2 , 5 , 1 , 0 , 10 , 0 , 1 , 0 , .190 , .292 , .333 , .625 , .289 , 72.9 , 0.15 , -0.18 
117,김재혁,22삼LF, 0.15 , 15 , 39 , 33 , 5 , 8 , 1 , 0 , 0 , 9 , 3 , 4 , 0 , 4 , 1 , 0 , 9 , 0 , 0 , 1 , .242 , .333 , .273 , .606 , .296 , 79.3 , 0.15 , 0.10 
118,박정현,22한SS, 0.15 , 81 , 220 , 205 , 23 , 50 , 4 , 1 , 3 , 65 , 19 , 6 , 1 , 12 , 1 , 0 , 56 , 2 , 2 , 0 , .244 , .289 , .317 , .606 , .282 , 70.2 , 0.15 , -1.42 
119,조민성,22삼1B, 0.15 , 12 , 16 , 13 , 3 , 4 , 0 , 0 , 1 , 7 , 3 , 1 , 0 , 2 , 1 , 0 , 7 , 0 , 0 , 0 , .308 , .438 , .538 , .976 , .443 , 175.4 , 0.15 , -0.02 
120,권광민,22한LF, 0.14 , 32 , 87 , 71 , 6 , 16 , 3 , 1 , 0 , 21 , 8 , 0 , 1 , 13 , 1 , 0 , 30 , 0 , 0 , 2 , .225 , .345 , .296 , .641 , .310 , 90.1 , 0.14 , -0.62 
121,하재훈,22SLF, 0.14 , 60 , 114 , 107 , 18 , 23 , 6 , 1 , 6 , 49 , 13 , 1 , 0 , 4 , 1 , 0 , 40 , 0 , 0 , 2 , .215 , .246 , .458 , .704 , .308 , 83.3 , 0.14 , -0.43 
122,변우혁,22한1B, 0.14 , 21 , 61 , 61 , 5 , 16 , 3 , 0 , 3 , 28 , 8 , 0 , 0 , 0 , 0 , 0 , 21 , 3 , 0 , 0 , .262 , .262 , .459 , .721 , .322 , 97.1 , 0.14 , -0.76 
123,김태근,22두CF, 0.12 , 2 , 6 , 4 , 0 , 2 , 1 , 0 , 0 , 3 , 2 , 0 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , .500 , .667 , .750 , 1.417 , .621 , 307.7 , 0.12 , 0.14 
124,전민재,22두SS, 0.12 , 35 , 46 , 45 , 11 , 13 , 1 , 0 , 0 , 14 , 0 , 3 , 0 , 0 , 0 , 0 , 12 , 3 , 1 , 0 , .289 , .289 , .311 , .600 , .275 , 64.5 , 0.12 , -0.11 
125,최경모,22S3B, 0.12 , 98 , 75 , 73 , 16 , 22 , 2 , 0 , 0 , 24 , 4 , 2 , 0 , 1 , 0 , 0 , 18 , 1 , 1 , 0 , .301 , .311 , .329 , .640 , .296 , 79.6 , 0.12 , -0.31 
126,이재용,22NC, 0.12 , 8 , 6 , 5 , 1 , 1 , 0 , 0 , 1 , 4 , 2 , 0 , 0 , 1 , 0 , 0 , 2 , 1 , 0 , 0 , .200 , .333 , .800 , 1.133 , .467 , 191.4 , 0.12 , -0.01 
127,이명기,22NLF, 0.11 , 94 , 341 , 300 , 36 , 77 , 13 , 2 , 0 , 94 , 23 , 5 , 4 , 30 , 3 , 0 , 56 , 8 , 6 , 2 , .257 , .328 , .313 , .642 , .301 , 84.1 , 0.11 , -1.84 
128,김민혁,22KLF, 0.10 , 132 , 434 , 373 , 47 , 106 , 10 , 2 , 0 , 120 , 35 , 6 , 9 , 37 , 2 , 2 , 62 , 10 , 19 , 3 , .284 , .349 , .322 , .671 , .305 , 83.6 , 0.10 , 0.07 
129,장운호,22한RF, 0.10 , 57 , 146 , 122 , 12 , 29 , 3 , 0 , 1 , 35 , 15 , 0 , 2 , 17 , 3 , 1 , 24 , 2 , 2 , 2 , .238 , .340 , .287 , .627 , .299 , 81.1 , 0.10 , -0.01 
130,오영수,22N1B, 0.09 , 83 , 259 , 231 , 25 , 55 , 10 , 0 , 6 , 83 , 31 , 0 , 5 , 22 , 3 , 0 , 58 , 4 , 0 , 3 , .238 , .309 , .359 , .668 , .311 , 89.8 , 0.09 , 0.33 
131,오태곤,22SLF, 0.08 , 130 , 295 , 263 , 48 , 61 , 15 , 1 , 4 , 90 , 23 , 11 , 4 , 15 , 9 , 1 , 68 , 3 , 5 , 3 , .232 , .293 , .342 , .635 , .290 , 73.9 , 0.08 , 0.06 
132,강현구,22두LF, 0.08 , 3 , 5 , 3 , 0 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , .333 , .600 , .333 , .933 , .482 , 206.5 , 0.08 , 0.03 
133,문상철,22K1B, 0.07 , 28 , 52 , 49 , 5 , 11 , 3 , 0 , 2 , 20 , 4 , 1 , 0 , 3 , 0 , 0 , 17 , 2 , 0 , 0 , .224 , .269 , .408 , .677 , .306 , 84.3 , 0.07 , -0.27 
134,김선우,22K, 0.06 , 3 , 4 , 3 , 1 , 1 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , .333 , .500 , .333 , .833 , .423 , 166.1 , 0.06 , 0.05 
135,최준우,22S2B, 0.05 , 10 , 16 , 12 , 0 , 3 , 0 , 0 , 0 , 3 , 1 , 0 , 0 , 3 , 0 , 0 , 3 , 0 , 0 , 1 , .250 , .375 , .250 , .625 , .311 , 89.1 , 0.05 , -0.06 
136,송승환,22두LF, 0.04 , 11 , 28 , 28 , 3 , 7 , 1 , 0 , 1 , 11 , 4 , 0 , 0 , 0 , 0 , 0 , 7 , 0 , 0 , 0 , .250 , .250 , .393 , .643 , .290 , 81.2 , 0.04 , 0.22 
137,문상준,22KSS, 0.04 , 2 , 3 , 3 , 0 , 1 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .333 , .333 , .667 , 1.000 , .439 , 171.0 , 0.04 , 0.07 
138,김민수,22롯3B, 0.04 , 57 , 156 , 140 , 9 , 36 , 6 , 0 , 0 , 42 , 11 , 0 , 1 , 9 , 4 , 0 , 48 , 2 , 3 , 0 , .257 , .320 , .300 , .620 , .293 , 73.7 , 0.04 , 0.23 
139,권혁경,22KC, 0.04 , 2 , 2 , 2 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .500 , .500 , .500 , 1.000 , .471 , 199.9 , 0.04 , 0.02 
140,안상현,22S2B, 0.03 , 46 , 47 , 38 , 12 , 6 , 0 , 0 , 2 , 12 , 5 , 2 , 0 , 5 , 1 , 0 , 12 , 2 , 3 , 0 , .158 , .273 , .316 , .589 , .261 , 50.6 , 0.03 , -0.29 
141,이형종,22LDH, 0.03 , 26 , 63 , 53 , 3 , 14 , 3 , 0 , 0 , 17 , 7 , 0 , 0 , 5 , 1 , 0 , 10 , 0 , 1 , 3 , .264 , .323 , .321 , .643 , .296 , 80.5 , 0.03 , 0.27 
142,박찬혁,22키DH, 0.03 , 52 , 175 , 161 , 13 , 34 , 5 , 0 , 6 , 57 , 17 , 0 , 1 , 9 , 5 , 0 , 67 , 1 , 0 , 0 , .211 , .274 , .354 , .628 , .291 , 81.8 , 0.03 , -0.36 
143,안재석,22두SS, 0.02 , 99 , 264 , 235 , 22 , 50 , 10 , 0 , 3 , 69 , 17 , 4 , 0 , 19 , 4 , 1 , 71 , 5 , 4 , 2 , .213 , .281 , .294 , .574 , .267 , 61.8 , 0.02 , -0.88 
144,강백호,22KDH, 0.02 , 62 , 264 , 237 , 24 , 58 , 12 , 0 , 6 , 88 , 29 , 0 , 0 , 23 , 1 , 2 , 44 , 6 , 1 , 2 , .245 , .312 , .371 , .683 , .312 , 88.8 , 0.02 , 0.16 
145,김동진,22삼2B, 0.02 , 5 , 4 , 4 , 0 , 1 , 1 , 0 , 0 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .250 , .250 , .500 , .750 , .330 , 104.7 , 0.02 , 0.02 
146,전진영,22KDH, 0.02 , 4 , 3 , 3 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , .333 , .333 , .333 , .667 , .314 , 89.0 , 0.02 , 0.00 
147,박계범,22두3B, 0.02 , 77 , 168 , 145 , 21 , 32 , 8 , 0 , 2 , 46 , 14 , 5 , 3 , 12 , 3 , 1 , 40 , 1 , 6 , 2 , .221 , .290 , .317 , .607 , .273 , 66.4 , 0.02 , -0.89 
148,박유연,22두C, 0.01 , 13 , 19 , 17 , 0 , 4 , 0 , 0 , 0 , 4 , 2 , 0 , 0 , 1 , 1 , 0 , 5 , 1 , 0 , 0 , .235 , .316 , .235 , .551 , .276 , 64.6 , 0.01 , 0.04 
149,안중열,22롯C, 0.01 , 33 , 84 , 71 , 8 , 11 , 0 , 0 , 2 , 17 , 2 , 0 , 1 , 11 , 2 , 0 , 19 , 2 , 0 , 0 , .155 , .286 , .239 , .525 , .262 , 55.7 , 0.01 , -0.51 
150,이정범,22SRF, 0.00 , 7 , 11 , 11 , 2 , 3 , 0 , 0 , 0 , 3 , 1 , 0 , 0 , 0 , 0 , 0 , 2 , 0 , 0 , 0 , .273 , .273 , .273 , .546 , .257 , 53.0 , 0.00 , -0.03 
151,최용제,22두, 0.00 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 ,  , 1.000 ,  ,  , .749 ,  , 0.00 , 0.03 
152,박재욱,22LC, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
153,신준우,22키SS, 0.00 , 76 , 54 , 43 , 6 , 6 , 3 , 0 , 0 , 9 , 0 , 0 , 0 , 7 , 2 , 0 , 19 , 0 , 2 , 0 , .140 , .289 , .209 , .498 , .246 , 45.5 , 0.00 , -0.23 
154,고명성,22K, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
155,김재유,22롯, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.03 
,강상원,22한, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
157,박용택,22LLF, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,이승진,22두P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,배재준,22LP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,김서준,22삼P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,박승주,22키P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,오승환,22삼P, 0.00 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,채지선,22LP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,김범수,22한P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,이상민,22삼P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,우규민,22삼P, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,홍정우,22삼P, 0.00 , 2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,배제성,22KSS, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,서동민,22SP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,장시환,22한P, 0.00 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
,최민준,22SP, 0.00 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 ,  ,  ,  ,  ,  ,  , 0.00 , 0.00 
