순,이름,연도,WAR,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR2,WPA
70,김재웅,23키, 1.00 , 67 , 0 , 0 , 0 , 2 , 3 , 6 , 18 , 59.2 , 29 , 28 , 250 , 56 , 11 , 0 , 2 , 24 , 1 , 0 , 46 , 0 , 0 , 4.22 , 3.49 , 1.34 , 97.2 , 116.9 , 1.00 , 1.35 
71,장시환,23한, 1.00 , 39 , 0 , 0 , 0 , 2 , 2 , 1 , 7 , 34.2 , 13 , 13 , 153 , 32 , 4 , 0 , 1 , 21 , 1 , 4 , 24 , 0 , 3 , 3.38 , 4.51 , 1.53 , 123.0 , 92.0 , 1.00 , -0.81 
72,고우석,23L, 0.99 , 44 , 0 , 0 , 0 , 3 , 8 , 15 , 0 , 44.0 , 19 , 18 , 190 , 38 , 6 , 0 , 2 , 22 , 1 , 4 , 59 , 0 , 5 , 3.68 , 3.06 , 1.36 , 110.9 , 134.3 , 0.99 , -0.75 
73,이준영,23K, 0.97 , 64 , 0 , 0 , 0 , 1 , 0 , 0 , 10 , 33.2 , 12 , 12 , 149 , 26 , 3 , 1 , 0 , 23 , 2 , 2 , 30 , 0 , 1 , 3.21 , 3.71 , 1.46 , 128.8 , 111.6 , 0.97 , -0.02 
74,최민준,23S, 0.96 , 53 , 0 , 0 , 0 , 5 , 3 , 1 , 7 , 60.0 , 29 , 28 , 262 , 75 , 10 , 2 , 7 , 19 , 1 , 1 , 37 , 0 , 2 , 4.20 , 4.68 , 1.57 , 99.6 , 90.9 , 0.96 , -0.59 
75,이건욱,23S, 0.93 , 27 , 0 , 0 , 1 , 1 , 0 , 0 , 0 , 38.2 , 13 , 10 , 169 , 31 , 7 , 0 , 0 , 25 , 2 , 2 , 31 , 0 , 2 , 2.33 , 3.78 , 1.45 , 179.8 , 110.1 , 0.93 , -0.09 
76,구승민,23롯, 0.87 , 67 , 0 , 0 , 0 , 2 , 6 , 3 , 22 , 63.2 , 32 , 28 , 289 , 65 , 8 , 0 , 4 , 29 , 0 , 5 , 66 , 0 , 2 , 3.96 , 3.79 , 1.48 , 105.1 , 108.6 , 0.87 , -0.45 
77,파노니,23K, 0.85 , 16 , 0 , 0 , 15 , 6 , 3 , 0 , 0 , 82.1 , 41 , 39 , 351 , 86 , 14 , 1 , 6 , 23 , 0 , 2 , 66 , 0 , 0 , 4.26 , 3.70 , 1.32 , 96.9 , 111.0 , 0.85 , 0.04 
78,이정용,23L, 0.82 , 37 , 0 , 0 , 13 , 7 , 2 , 3 , 1 , 86.2 , 45 , 40 , 382 , 100 , 20 , 1 , 5 , 19 , 0 , 2 , 50 , 0 , 3 , 4.15 , 3.77 , 1.37 , 98.3 , 108.5 , 0.82 , -0.67 
79,스트레일리,23롯, 0.81 , 16 , 0 , 0 , 16 , 3 , 5 , 0 , 0 , 80.1 , 43 , 39 , 364 , 82 , 8 , 1 , 6 , 37 , 0 , 10 , 70 , 0 , 4 , 4.37 , 4.43 , 1.48 , 95.2 , 92.8 , 0.81 , -0.27 
80,심재민,23K롯, 0.81 , 33 , 0 , 0 , 6 , 3 , 1 , 0 , 6 , 47.2 , 23 , 20 , 218 , 57 , 6 , 0 , 2 , 18 , 1 , 1 , 29 , 0 , 1 , 3.78 , 3.90 , 1.57 , 110.3 , 105.6 , 0.81 , 0.11 
81,이우찬,23L, 0.80 , 38 , 0 , 0 , 0 , 1 , 3 , 0 , 5 , 38.1 , 15 , 15 , 157 , 35 , 4 , 0 , 1 , 18 , 0 , 2 , 30 , 1 , 2 , 3.52 , 3.78 , 1.38 , 115.9 , 109.0 , 0.80 , 0.35 
82,김범수,23한, 0.77 , 76 , 0 , 0 , 0 , 5 , 5 , 1 , 18 , 62.1 , 33 , 29 , 283 , 64 , 10 , 0 , 3 , 33 , 5 , 3 , 52 , 0 , 4 , 4.19 , 3.89 , 1.56 , 99.2 , 106.5 , 0.77 , -0.32 
83,이재익,23삼, 0.77 , 51 , 0 , 0 , 0 , 1 , 3 , 0 , 11 , 41.0 , 19 , 18 , 181 , 46 , 5 , 1 , 3 , 17 , 3 , 0 , 26 , 0 , 3 , 3.95 , 4.15 , 1.54 , 107.2 , 101.3 , 0.77 , -0.71 
84,주권,23K, 0.75 , 42 , 0 , 0 , 3 , 1 , 2 , 0 , 5 , 47.0 , 23 , 23 , 205 , 49 , 7 , 1 , 4 , 19 , 2 , 2 , 17 , 0 , 0 , 4.40 , 5.04 , 1.45 , 95.9 , 82.4 , 0.75 , -0.47 
85,최동환,23L, 0.74 , 45 , 0 , 0 , 0 , 0 , 0 , 1 , 1 , 42.1 , 18 , 15 , 189 , 42 , 11 , 0 , 1 , 17 , 2 , 3 , 20 , 0 , 0 , 3.19 , 4.08 , 1.39 , 128.0 , 101.1 , 0.74 , 0.18 
86,이상동,23K, 0.72 , 36 , 0 , 0 , 0 , 4 , 1 , 0 , 1 , 40.2 , 19 , 18 , 179 , 45 , 10 , 0 , 4 , 15 , 2 , 0 , 43 , 0 , 1 , 3.98 , 3.57 , 1.48 , 106.0 , 117.5 , 0.72 , 0.43 
87,최성영,23N, 0.68 , 18 , 0 , 0 , 13 , 5 , 4 , 0 , 0 , 66.2 , 37 , 36 , 303 , 77 , 15 , 2 , 6 , 32 , 0 , 5 , 38 , 0 , 1 , 4.86 , 5.14 , 1.64 , 85.7 , 81.8 , 0.68 , -0.73 
88,이재학,23N, 0.68 , 15 , 0 , 0 , 13 , 5 , 5 , 0 , 0 , 67.1 , 36 , 34 , 293 , 55 , 5 , 2 , 6 , 33 , 0 , 5 , 43 , 0 , 7 , 4.54 , 5.02 , 1.31 , 91.6 , 83.8 , 0.68 , -0.23 
89,정찬헌,23키, 0.68 , 14 , 1 , 0 , 14 , 2 , 8 , 0 , 0 , 72.0 , 40 , 38 , 295 , 71 , 12 , 3 , 4 , 13 , 1 , 2 , 35 , 0 , 0 , 4.75 , 3.78 , 1.17 , 86.5 , 108.1 , 0.68 , -0.15 
90,최원준,23두, 0.65 , 26 , 0 , 0 , 20 , 3 , 10 , 0 , 0 , 107.2 , 60 , 59 , 465 , 119 , 33 , 1 , 11 , 28 , 0 , 12 , 71 , 0 , 1 , 4.93 , 4.57 , 1.37 , 82.6 , 87.8 , 0.65 , -0.31 
91,앤더슨,23K, 0.64 , 14 , 0 , 0 , 14 , 4 , 7 , 0 , 0 , 79.0 , 42 , 33 , 336 , 76 , 12 , 3 , 6 , 26 , 0 , 2 , 64 , 0 , 10 , 3.76 , 3.87 , 1.29 , 109.9 , 106.0 , 0.64 , -0.03 
92,김진호,23N, 0.60 , 19 , 0 , 0 , 0 , 2 , 1 , 0 , 9 , 16.1 , 5 , 5 , 73 , 15 , 2 , 0 , 0 , 10 , 0 , 1 , 22 , 0 , 3 , 2.76 , 2.77 , 1.53 , 151.2 , 151.7 , 0.60 , 0.27 
93,하준영,23N, 0.59 , 57 , 0 , 0 , 0 , 1 , 0 , 0 , 2 , 49.0 , 25 , 25 , 215 , 52 , 6 , 1 , 4 , 19 , 1 , 2 , 49 , 0 , 0 , 4.59 , 3.73 , 1.45 , 90.7 , 113.2 , 0.59 , -1.15 
94,김규연,23한, 0.54 , 23 , 0 , 0 , 0 , 0 , 1 , 1 , 0 , 19.2 , 7 , 6 , 85 , 16 , 2 , 1 , 0 , 10 , 0 , 2 , 20 , 0 , 2 , 2.75 , 3.24 , 1.32 , 151.2 , 127.9 , 0.54 , 0.02 
95,이호성,23삼, 0.53 , 5 , 0 , 0 , 2 , 1 , 0 , 0 , 0 , 17.0 , 5 , 5 , 71 , 11 , 4 , 1 , 1 , 10 , 0 , 0 , 11 , 0 , 1 , 2.65 , 4.68 , 1.24 , 160.0 , 89.0 , 0.53 , 0.13 
96,장현식,23K, 0.52 , 56 , 0 , 0 , 0 , 2 , 2 , 3 , 5 , 51.0 , 26 , 23 , 226 , 58 , 8 , 0 , 6 , 26 , 1 , 1 , 44 , 0 , 1 , 4.06 , 4.78 , 1.65 , 101.8 , 85.7 , 0.52 , -0.62 
97,김대우,23삼, 0.50 , 44 , 0 , 0 , 5 , 0 , 2 , 0 , 4 , 64.0 , 37 , 32 , 277 , 66 , 9 , 1 , 7 , 22 , 1 , 3 , 49 , 0 , 1 , 4.50 , 4.46 , 1.38 , 94.1 , 94.3 , 0.50 , -1.38 
98,요키시,23키, 0.47 , 12 , 0 , 0 , 12 , 5 , 3 , 0 , 0 , 65.2 , 37 , 32 , 286 , 82 , 14 , 1 , 3 , 14 , 1 , 3 , 51 , 0 , 1 , 4.39 , 3.21 , 1.46 , 93.6 , 126.6 , 0.47 , -0.13 
99,조민석,23N, 0.44 , 35 , 0 , 0 , 0 , 1 , 0 , 0 , 4 , 31.0 , 15 , 14 , 137 , 33 , 9 , 0 , 2 , 14 , 0 , 3 , 28 , 0 , 1 , 4.06 , 4.12 , 1.52 , 102.5 , 102.0 , 0.44 , 0.10 
100,고효준,23S, 0.44 , 73 , 0 , 0 , 0 , 4 , 1 , 0 , 13 , 58.0 , 32 , 29 , 262 , 49 , 3 , 0 , 3 , 42 , 0 , 3 , 66 , 0 , 4 , 4.50 , 4.17 , 1.57 , 93.0 , 101.1 , 0.44 , 0.08 
101,신정락,23롯, 0.43 , 34 , 0 , 0 , 0 , 4 , 0 , 0 , 1 , 29.0 , 15 , 15 , 128 , 32 , 6 , 0 , 4 , 11 , 3 , 3 , 28 , 0 , 0 , 4.66 , 4.44 , 1.48 , 89.4 , 90.9 , 0.43 , -0.52 
102,윤중현,23K, 0.42 , 31 , 0 , 0 , 0 , 2 , 1 , 0 , 0 , 28.0 , 13 , 12 , 115 , 29 , 3 , 0 , 2 , 10 , 1 , 1 , 8 , 0 , 0 , 3.86 , 4.87 , 1.39 , 107.1 , 84.5 , 0.42 , 0.20 
103,조영건,23키, 0.40 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 7.2 , 0 , 0 , 27 , 5 , 1 , 0 , 0 , 2 , 0 , 0 , 7 , 0 , 0 , 0.00 , 2.40 , 0.91 ,  , 170.8 , 0.40 , 0.20 
104,박상원,23한, 0.37 , 55 , 0 , 0 , 0 , 5 , 3 , 16 , 0 , 61.2 , 35 , 25 , 277 , 63 , 9 , 3 , 2 , 29 , 4 , 3 , 57 , 0 , 2 , 3.65 , 3.38 , 1.49 , 113.8 , 122.6 , 0.37 , 0.92 
105,우규민,23삼, 0.34 , 56 , 0 , 0 , 0 , 3 , 1 , 0 , 13 , 43.0 , 25 , 23 , 188 , 55 , 9 , 0 , 3 , 5 , 0 , 3 , 28 , 0 , 0 , 4.81 , 3.61 , 1.40 , 88.0 , 116.2 , 0.34 , -0.26 
106,김도규,23롯, 0.32 , 36 , 0 , 0 , 0 , 0 , 3 , 1 , 1 , 29.2 , 16 , 16 , 132 , 29 , 5 , 0 , 1 , 13 , 0 , 1 , 26 , 0 , 6 , 4.85 , 3.54 , 1.42 , 85.7 , 116.7 , 0.32 , -1.28 
107,송명기,23N, 0.30 , 35 , 0 , 0 , 17 , 4 , 9 , 0 , 0 , 104.1 , 64 , 57 , 474 , 106 , 15 , 2 , 12 , 47 , 0 , 11 , 65 , 0 , 6 , 4.92 , 5.36 , 1.47 , 84.7 , 78.5 , 0.30 , -1.33 
108,박민호,23S, 0.29 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 10.0 , 3 , 1 , 47 , 14 , 1 , 0 , 0 , 1 , 0 , 2 , 4 , 0 , 0 , 0.90 , 3.54 , 1.50 , 465.0 , 117.8 , 0.29 , 0.14 
109,김기중,23한, 0.28 , 37 , 0 , 0 , 6 , 1 , 3 , 0 , 1 , 56.1 , 33 , 29 , 253 , 58 , 9 , 3 , 4 , 29 , 1 , 9 , 46 , 0 , 2 , 4.63 , 4.70 , 1.54 , 89.6 , 88.3 , 0.28 , 0.20 
110,이민우,23한, 0.26 , 17 , 0 , 0 , 0 , 2 , 1 , 0 , 2 , 13.2 , 6 , 4 , 57 , 8 , 0 , 0 , 2 , 6 , 0 , 0 , 11 , 0 , 1 , 2.63 , 5.05 , 1.02 , 157.6 , 82.1 , 0.26 , 0.07 
111,문승원,23S, 0.25 , 50 , 0 , 0 , 12 , 5 , 8 , 1 , 8 , 105.0 , 66 , 61 , 479 , 138 , 27 , 1 , 12 , 35 , 1 , 6 , 65 , 0 , 3 , 5.23 , 4.83 , 1.65 , 80.0 , 87.9 , 0.25 , -1.88 
112,정우람,23한, 0.24 , 52 , 0 , 0 , 0 , 0 , 1 , 0 , 8 , 40.1 , 24 , 24 , 183 , 45 , 8 , 2 , 3 , 17 , 0 , 2 , 30 , 0 , 3 , 5.36 , 4.34 , 1.54 , 77.5 , 95.7 , 0.24 , 0.24 
113,석상호,23롯, 0.24 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 5.1 , 0 , 0 , 22 , 4 , 1 , 0 , 0 , 2 , 0 , 0 , 6 , 0 , 1 , 0.00 , 2.32 , 1.13 ,  , 180.7 , 0.24 , -0.01 
114,강건,23K, 0.24 , 4 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 6.2 , 1 , 1 , 28 , 4 , 2 , 0 , 0 , 3 , 0 , 0 , 8 , 0 , 1 , 1.35 , 2.39 , 1.05 , 312.8 , 176.9 , 0.24 , -0.10 
115,이용준,23N, 0.24 , 24 , 0 , 0 , 12 , 3 , 4 , 0 , 0 , 67.0 , 39 , 32 , 304 , 60 , 11 , 0 , 5 , 44 , 0 , 2 , 50 , 0 , 1 , 4.30 , 4.98 , 1.55 , 96.9 , 84.5 , 0.24 , -0.99 
116,김강률,23두, 0.23 , 32 , 0 , 0 , 0 , 1 , 0 , 1 , 7 , 25.2 , 14 , 12 , 115 , 23 , 3 , 0 , 2 , 12 , 0 , 2 , 21 , 0 , 2 , 4.21 , 4.46 , 1.36 , 96.8 , 90.7 , 0.23 , 0.15 
117,박정수,23두, 0.23 , 25 , 0 , 0 , 0 , 1 , 0 , 1 , 0 , 36.2 , 22 , 17 , 165 , 37 , 12 , 0 , 1 , 18 , 1 , 6 , 28 , 0 , 2 , 4.17 , 4.15 , 1.50 , 97.6 , 99.0 , 0.23 , 0.13 
118,이상규,23L, 0.23 , 8 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 7.2 , 2 , 2 , 34 , 7 , 0 , 0 , 0 , 5 , 0 , 0 , 6 , 0 , 1 , 2.35 , 3.83 , 1.57 , 173.8 , 108.2 , 0.23 , 0.17 
119,문용익,23삼, 0.23 , 14 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 13.0 , 6 , 6 , 59 , 8 , 1 , 0 , 0 , 12 , 0 , 2 , 12 , 0 , 5 , 4.15 , 4.83 , 1.54 , 102.0 , 85.3 , 0.23 , -0.13 
120,백승우,23두, 0.21 , 6 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.0 , 0 , 0 , 18 , 3 , 0 , 0 , 0 , 3 , 0 , 1 , 1 , 0 , 0 , 0.00 , 5.94 , 1.50 ,  , 69.7 , 0.21 , -0.10 
121,박준표,23K, 0.18 , 33 , 0 , 0 , 0 , 1 , 0 , 0 , 3 , 28.0 , 16 , 14 , 118 , 28 , 3 , 1 , 3 , 9 , 1 , 0 , 13 , 0 , 1 , 4.50 , 4.76 , 1.32 , 91.8 , 86.0 , 0.18 , -0.20 
122,이명종,23키, 0.16 , 45 , 0 , 0 , 2 , 5 , 5 , 0 , 1 , 57.0 , 34 , 33 , 260 , 66 , 13 , 0 , 5 , 24 , 0 , 6 , 26 , 0 , 0 , 5.21 , 5.25 , 1.58 , 78.8 , 77.7 , 0.16 , -1.16 
123,윤정현,23키, 0.16 , 5 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 6.0 , 2 , 1 , 26 , 5 , 0 , 0 , 0 , 6 , 0 , 0 , 2 , 0 , 1 , 1.50 , 5.78 , 1.83 , 273.8 , 71.5 , 0.16 , -0.12 
124,이진하,23롯, 0.16 , 9 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 8.0 , 3 , 3 , 31 , 4 , 3 , 0 , 0 , 3 , 0 , 1 , 2 , 0 , 1 , 3.38 , 4.44 , 0.88 , 123.3 , 93.6 , 0.16 , -0.04 
125,이병헌,23두, 0.16 , 36 , 0 , 0 , 0 , 0 , 0 , 0 , 5 , 27.0 , 16 , 14 , 126 , 25 , 7 , 0 , 2 , 22 , 0 , 1 , 28 , 0 , 3 , 4.67 , 4.89 , 1.74 , 87.3 , 83.0 , 0.16 , -0.86 
126,김승현,23K, 0.16 , 10 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 12.2 , 6 , 6 , 57 , 11 , 2 , 0 , 1 , 10 , 0 , 1 , 7 , 0 , 1 , 4.26 , 5.97 , 1.66 , 96.9 , 69.2 , 0.16 , -0.02 
127,전용주,23K, 0.15 , 15 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 10.1 , 5 , 5 , 43 , 6 , 4 , 0 , 0 , 6 , 0 , 1 , 9 , 0 , 4 , 4.35 , 3.73 , 1.16 , 97.0 , 112.2 , 0.15 , 0.04 
128,백승건,23S, 0.14 , 25 , 0 , 0 , 2 , 2 , 2 , 0 , 3 , 38.0 , 24 , 21 , 170 , 41 , 5 , 0 , 7 , 17 , 0 , 0 , 29 , 0 , 0 , 4.97 , 5.65 , 1.53 , 84.1 , 75.8 , 0.14 , 0.18 
129,이재희,23삼, 0.14 , 2 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 8.0 , 3 , 3 , 33 , 4 , 1 , 0 , 1 , 5 , 0 , 0 , 5 , 0 , 1 , 3.38 , 5.69 , 1.13 , 125.5 , 73.7 , 0.14 , -0.06 
130,전사민,23N, 0.14 , 9 , 0 , 0 , 0 , 0 , 2 , 1 , 0 , 17.0 , 10 , 9 , 81 , 17 , 1 , 0 , 1 , 14 , 1 , 2 , 6 , 0 , 1 , 4.76 , 6.15 , 1.82 , 87.4 , 68.2 , 0.14 , -0.17 
131,문성현,23키, 0.14 , 32 , 0 , 0 , 0 , 2 , 2 , 0 , 2 , 28.1 , 16 , 13 , 134 , 25 , 3 , 0 , 2 , 20 , 2 , 2 , 21 , 0 , 2 , 4.13 , 5.00 , 1.59 , 99.4 , 81.7 , 0.14 , -0.70 
132,김태현,23N, 0.13 , 16 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 20.1 , 13 , 10 , 90 , 17 , 1 , 1 , 4 , 13 , 0 , 1 , 14 , 0 , 0 , 4.43 , 6.69 , 1.48 , 94.1 , 63.2 , 0.13 , -0.01 
133,이선우,23K, 0.13 , 22 , 0 , 0 , 4 , 0 , 2 , 0 , 0 , 37.1 , 20 , 18 , 169 , 47 , 6 , 0 , 5 , 9 , 0 , 4 , 24 , 0 , 0 , 4.34 , 4.94 , 1.50 , 97.3 , 84.0 , 0.13 , -0.66 
134,진해수,23L, 0.13 , 19 , 0 , 0 , 0 , 0 , 0 , 0 , 2 , 14.2 , 8 , 5 , 72 , 18 , 3 , 0 , 2 , 10 , 0 , 0 , 12 , 0 , 3 , 3.07 , 5.62 , 1.91 , 133.0 , 72.0 , 0.13 , -0.44 
135,이승현,23삼, 0.13 , 48 , 0 , 0 , 0 , 1 , 5 , 5 , 7 , 43.1 , 26 , 24 , 199 , 41 , 6 , 0 , 6 , 29 , 1 , 2 , 37 , 0 , 2 , 4.98 , 5.61 , 1.62 , 85.0 , 74.9 , 0.13 , -1.60 
136,김창훈,23롯, 0.12 , 3 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.1 , 1 , 1 , 17 , 5 , 0 , 1 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 2.08 , 3.67 , 1.39 , 200.3 , 113.1 , 0.12 , 0.10 
137,한재승,23N, 0.11 , 11 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 9.2 , 5 , 4 , 44 , 9 , 1 , 0 , 2 , 5 , 0 , 0 , 10 , 0 , 1 , 3.72 , 5.62 , 1.45 , 111.8 , 75.6 , 0.11 , -0.24 
138,최지광,23삼, 0.10 , 22 , 0 , 0 , 0 , 2 , 0 , 0 , 1 , 17.1 , 10 , 10 , 82 , 17 , 2 , 0 , 4 , 9 , 0 , 1 , 18 , 0 , 0 , 5.19 , 6.10 , 1.50 , 81.6 , 69.5 , 0.10 , -0.69 
139,송은범,23L, 0.10 , 4 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.2 , 1 , 1 , 17 , 6 , 0 , 0 , 0 , 3 , 0 , 0 , 2 , 0 , 0 , 2.45 , 4.81 , 2.46 , 166.3 , 86.2 , 0.10 , -0.10 
140,이상영,23L, 0.10 , 6 , 0 , 0 , 2 , 0 , 1 , 0 , 0 , 11.0 , 5 , 4 , 54 , 12 , 3 , 0 , 0 , 8 , 0 , 3 , 4 , 0 , 0 , 3.27 , 5.72 , 1.82 , 124.7 , 72.3 , 0.10 , -0.14 
